id,time_period,date,c3_c4,minimum_iso_sample_weight,optimal_iso_sample_weight,maximum_iso_sample_weight,iso_sample_weight,δ13CVPDB,Total_C,δ15NAir,Total_N,CO2ppm,δ13Catm
GUMO23-001,present,2023,c3,2.78,5.33,5.33,4.357,-29.39,1930.17,-3.89,53.99,424,-8.62
GUMO23-003,present,2023,c3,1.69,4.63,4.63,4.422,-27.57,1722.7,1.31,58.2,424,-8.62
GUMO23-004,present,2023,c3,1.37,4.5,4.5,3.82,-26.18,1683.47,1.57,66.73,424,-8.62
GUMO23-009,present,2023,c3,2,4.65,4.65,3.646,-27.21,1565.16,-0.5,41.14,424,-8.62
GUMO23-022,present,2023,c3,2,4.22,4.22,3.324,-25.71,1525.52,-1.91,47.25,424,-8.62
GUMO23-046,present,2023,c3,1.28,4.46,4.46,4.086,-27.25,1787.85,0.03,50.22,424,-8.62
GUMO23-048,present,2023,c3,2.78,5.33,5.33,4.008,-26.67,1800.84,-0.21,85.68,424,-8.62
GUMO23-057,present,2023,c3,0.98,4.27,4.27,2.642,-27.53,1206.01,-2.27,67.89,424,-8.62
GUMO23-094,present,2023,c3,1.28,4.46,4.46,3.042,-26.11,1238.39,2.64,67.02,424,-8.62
GUMO23-126,present,2023,c3,2.78,5.33,5.33,4.356,-28.79,1683.47,-3.66,74.89,424,-8.62
GUMO23-127,present,2023,c3,2.78,5.33,5.33,4.074,-27.58,1917.29,-2.64,51.96,424,-8.62
GUMO23-131,present,2023,c3,1.28,4.46,4.46,3.98,-27.71,1774.84,-2.66,61.89,424,-8.62
GUMO23-186,present,2023,c3,0.81,4.03,4.51,4.059,-26.39,1683.47,2.48,113.61,424,-8.62
GUMO23-192,present,2023,c3,2.78,5.33,5.33,3.418,-30.42,1419.3,0.47,53.78,424,-8.62
GUMO23-195,present,2023,c3,1.89,4.41,4.41,3.36,-29.52,1472.5,-1.24,28.54,424,-8.62
GUMO23-207,present,2023,c3,1.74,4.06,4.06,3.963,-26.92,1917.29,-0.98,43.98,424,-8.62
GUMO23-214,present,2023,c3,1.59,4.46,4.46,1.822,-27.4,767.96,0.71,26.64,424,-8.62
GUMO23-220,present,2023,c3,1.59,4.46,4.46,2.887,-27.36,1192.5,0.11,61.24,424,-8.62
GUMO23-230,present,2023,c3,1.59,4.46,4.46,2.974,-28.29,1018.54,0.6,60.37,424,-8.62
GUMO23-241,present,2023,c3,2.25,4.86,4.86,4.405,-28.7,1748.79,-2.59,56.02,424,-8.62
GUMO22-007,present,2022,c3,1.28,4.46,4.46,4.256,-28.44,1878.58,1.96,67.96,420.94,-8.62
GUMO22-009,present,2022,c3,1.37,4.5,4.5,4.381,-27.01,1981.01,-3.05,65.12,420.94,-8.62
GUMO22-011,present,2022,c3,2.22,4.41,4.41,3.783,-28.54,1613.7,-1.62,38.87,420.94,-8.62
GUMO22-013,present,2022,c3,1.69,4.63,4.63,4.253,-27.17,1804.1,-2.57,53.74,420.94,-8.62
GUMO22-014,present,2022,c3,1.54,4.16,4.16,3.492,-28.14,1646.84,-1.66,47.68,420.94,-8.62
GUMO22-031,present,2022,c3,1.08,4.83,4.83,4.399,-27.92,1801.4,2.14,93.16,420.94,-8.62
GUMO22-032,present,2022,c4,1.33,4.57,4.57,4.263,-13.71,1857.13,-1.4,72.96,420.94,-8.62
GUMO22-033,present,2022,c3,2,4.22,4.22,3.537,-26.66,1670.43,-2.62,40.82,420.94,-8.62
GUMO22-076,present,2022,c3,2.67,4.16,4.16,3.967,-28.02,1918.1,-3.62,36.88,420.94,-8.62
GUMO22-077,present,2022,c3,1,4.23,4.23,4.096,-26.18,1888.62,-3,81.7,420.94,-8.62
GUMO22-078,present,2022,c3,0.99,4.11,4.11,2.392,-25.19,1108.25,-3.58,45.79,420.94,-8.62
GUMO22-079,present,2022,c3,0.73,3.64,4.12,3.775,-26.94,1800.16,1.01,103.99,420.94,-8.62
GUMO22-080,present,2022,c3,1.74,4.06,4.06,3.717,-29.82,1804.1,-1.66,46.42,420.94,-8.62
GUMO22-081,present,2022,c3,0.93,4.39,4.39,3.938,-26.34,1764.78,-2.04,91.42,420.94,-8.62
GUMO22-082,present,2022,c3,1.11,4.27,4.27,3.966,-25.31,1845.37,-3.87,81.12,420.94,-8.62
GUMO22-121,present,2022,c3,0.98,4.27,4.27,3.75,-25.3,1745.13,4.19,83.98,420.94,-8.62
GUMO22-122,present,2022,c3,0.86,4.14,4.14,3.121,-27.1,1479.76,-2.2,74.26,420.94,-8.62
GUMO22-123,present,2022,c3,2.15,4.2,4.2,3.922,-29.03,1916.14,-2.25,40.71,420.94,-8.62
GUMO22-124,present,2022,c3,1.4,4.68,4.68,4.635,-27.74,1996.1,1.27,65.52,420.94,-8.62
GUMO22-125,present,2022,c3,1.2,4.22,4.22,2.732,-25.35,1289.09,-3.07,49.17,420.94,-8.62
GUMO22-126,present,2022,c3,1.12,4.57,4.57,4.021,-26.65,1747.09,-2.64,74.26,420.94,-8.62
GUMO22-127,present,2022,c4,1.98,5.3,5.3,4.628,-14.69,2039.98,-2.26,52.65,420.94,-8.62
GUMO22-128,present,2022,c3,2,4.65,4.65,4.421,-28.66,1880.05,-1.32,48.36,420.94,-8.62
GUMO22-129,present,2022,c3,2.5,4.07,4.07,3.678,-29.13,1806.06,-1.76,34.02,420.94,-8.62
GUMO22-130,present,2022,c3,0.82,4.08,4.43,3.612,-27.93,1625.22,0.45,92.56,420.94,-8.62
GUMO22-131,present,2022,c3,2.7,4.41,4.41,3.767,-29.57,1678.29,-5.21,30.7,420.94,-8.62
GUMO22-132,present,2022,c3,1.16,4.54,4.54,3.499,-25.64,1501.38,-5.6,58.26,420.94,-8.62
GUMO22-133,present,2022,c3,1.35,4.31,4.31,4.143,-28.31,1927.93,-3.9,63.97,420.94,-8.62
GUMO22-134,present,2022,c3,0.83,4.15,4.19,3.733,-26.99,1772.64,-3.94,92.56,420.94,-8.62
GUMO22-135,present,2022,c3,0.58,2.63,3.95,2.82,-28.45,966.72,6.69,107.99,420.94,-8.62
GUMO22-136,present,2022,c3,0.81,4.03,4.51,3.852,-27.81,1739.23,-1.45,107.42,420.94,-8.62
GUMO22-137,present,2022,c3,0.9,4.44,4.44,3.491,-24.95,1544.69,-0.87,74.78,420.94,-8.62
GUMO22-139,present,2022,c3,1.23,4.29,4.29,3.731,-27.49,1717.61,3.33,63.4,420.94,-8.62
GUMO22-140,present,2022,c3,1.94,5.81,5.81,5.68,-26.6,1931.86,2.43,61.69,420.94,-8.62
GUMO22-141,present,2022,c3,0.9,4.52,4.73,3.835,-28.82,1621.29,-2.11,94.85,420.94,-8.62
GUMO22-142,present,2022,c3,2.02,4.32,4.32,3.302,-28.1,1540.7,-3.04,37.62,420.94,-8.62
GUMO22-143,present,2022,c3,0.8,3.98,4.52,4.466,-28.91,1954.06,-2.11,115.42,420.94,-8.62
GUMO22-144,present,2022,c3,0.48,2.06,3.09,2.822,-28.01,1169.18,-2.25,142.3,420.94,-8.62
GUMO22-145,present,2022,c3,0.52,2.58,3.87,3.535,-29.55,1355.92,1.97,139.44,420.94,-8.62
GUMO22-146,present,2022,c3,0.59,2.96,4.23,3.062,-28.6,1403.1,-1.68,102.28,420.94,-8.62
GUMO22-147,present,2022,c3,0.78,3.65,3.65,3.303,-26.51,1599.67,-1.46,83.98,420.94,-8.62
GUMO22-148,present,2022,c3,0.68,3.4,4.88,3.593,-25.83,1458.14,-1.8,109.71,420.94,-8.62
GUMO22-149,present,2022,c4,1.61,4.48,4.48,3.801,-15,1692.05,-1.77,48.82,420.94,-8.62
GUMO22-150,present,2022,c3,1.89,4.41,4.41,2.895,-29.48,1314.64,0.62,31.73,420.94,-8.62
GUMO22-151,present,2022,c3,0.96,4.73,4.73,3.743,-26.69,1589.84,0.15,86.27,420.94,-8.62
GUMO22-152,present,2022,c3,0.82,4.08,4.76,3.273,-28.72,1361.82,2.23,58.26,420.94,-8.62
GUMO22-153,present,2022,c3,1.83,4.82,4.82,4.232,-30.19,1745.13,0.88,48.94,420.94,-8.62
GUMO22-154,present,2022,c3,0.49,2.06,3.09,2.492,-28.58,1006.03,-0.59,122.86,420.94,-8.62
GUMO22-155,present,2022,c3,0.59,2.96,4.44,3.283,-29.9,1407.03,1.96,112,420.94,-8.62
GUMO22-160,present,2022,c3,0.75,3.73,4.26,2.985,-25.68,1387.37,-3.19,82.84,420.94,-8.62
GUMO22-164,present,2022,c3,2.9,5.08,5.08,4.42,-29.62,1729.4,-1.84,33.9,420.94,-8.62
GUMO22-166,present,2022,c3,1.49,4.81,4.81,2.944,-28.13,1222.26,-0.65,37.73,420.94,-8.62
GUMO22-167,present,2022,c3,1.1,4.77,4.77,3.215,-25.71,1344.13,-1.25,62.83,420.94,-8.62
GUMO22-168,present,2022,c3,0.78,3.92,4.4,3.768,-28.88,1694.02,-0.1,98.28,420.94,-8.62
GUMO22-169,present,2022,c3,2.3,4.99,4.99,3.1,-29.79,1249.78,-2.96,32.42,420.94,-8.62
TTC000197,historical,7/23/1975,c3,2.78,5.33,5.33,4.597,-28.76,2007.22,-4.05,97.17,331.97,-7.44
TTC004196,historical,7/10/1975,c3,0.96,4.73,4.73,3.463,-26,1472.5,3.34,21.16,331.97,-7.44
TTC005810,historical,6/5/1973,c3,1.08,4.26,4.26,4.234,-25.38,1981.01,-0.54,122.86,332.07,-7.37
TTC008246,historical,4/12/1974,c3,0.94,4.55,4.55,4.377,-25.52,1835.08,4.49,93.72,332.65,-7.4
TTC008247,historical,4/15/1974,c3,1.59,4.46,4.46,4.064,-25.7,1723.01,1.6,68.01,332.65,-7.4
TTC008248,historical,8/16/1973,c3,1.32,4.65,4.65,3.846,-27.67,1640.63,6,71.96,329.31,-7.37
TTC008714,historical,8/17/1973,c3,1.41,4.47,4.47,3.982,-26.94,1722.62,0.64,63.53,329.31,-7.37
TTC010275,historical,8/3/1974,c3,1.59,4.46,4.46,2.617,-28.41,835.8,6.32,96.45,329.15,-7.4
TTC018057,historical,4/16/1975,c3,0.67,3.34,4.75,2.864,-28.91,1250.7,-2.02,92.38,333.11,-7.44
TTC019289,historical,8/231974,c3,2.78,5.33,5.33,4.251,-27,1657.26,0.14,53.92,329.15,-7.4
TTC020017,historical,5/23/1975,c3,1.08,4.26,4.26,3.812,-26.81,1445.92,1.68,95.01,333.95,-7.44
TTC020028,historical,8/16/1974,c3,1.72,4.08,4.08,3.593,-27.6,1719.57,2.4,55.46,329.15,-7.4
TTC020041,historical,6/6/1973,c3,1.28,4.46,4.46,3.829,-26.53,1707.12,-2.07,67.92,332.07,-7.37
TTC020047,historical,4/17/1974,c3,2.78,5.33,5.33,3.663,-26.36,1748.79,-0.39,27.88,332.65,-7.4
TTC020054,historical,6/30/1974,c3,1.21,4.32,4.32,2.634,-26.32,1236.02,-4.24,48.42,332.2,-7.4
TTC020057,historical,5/24/1974,c3,0.76,3.8,4.51,3.731,-25.97,1670.43,2.94,99.42,333.18,-7.4
TTC020090,historical,5/16/1975,c3,1.38,4.72,4.72,3.513,-28.57,1483.69,-2.92,47.79,333.95,-7.44
TTC020093,historical,8/18/1976,c3,1.28,4.46,4.46,4.335,-27.5,2007.22,-1.01,74.89,330.68,-7.49
TTC020109,historical,6/4/1973,c3,1.67,4.63,4.63,4.27,-26.43,1827.47,2.68,56.49,332.07,-7.37
TTC020203,historical,6/2/1973,c3,1.29,4.56,4.56,4.028,-26.51,1714.45,3.38,65.89,332.07,-7.37
TTC020260,historical,7/17/1975,c3,1.59,4.46,4.46,4.092,-28.2,1748.79,0.78,127.14,331.97,-7.44
TTC020277,historical,8/9/1975,c3,0.99,4.93,5.29,4.81,-29.33,1792.28,-2.73,105.84,329.95,-7.44
TTC020343,historical,6/24/1973,c3,0.52,2.18,3.28,1.83,-29.02,658.21,6.03,84.32,332.07,-7.37
TTC020393,historical,6/22/1973,c3,0.97,4.49,4.49,3.65,-25.46,1645.27,-0.2,79.73,332.07,-7.37
TTC020410,historical,7/25/1973,c3,1.4,4.88,4.88,4.675,-27.34,1935.49,-1.05,80.37,330.87,-7.37
TTC020429,historical,8/4/1973,c3,1.48,4.6,4.6,4.388,-28.56,1896.54,-2.26,67.41,329.31,-7.37
TTC020436,historical,8/3/1974,c3,1.85,4.49,4.49,2.935,-27.03,1243.78,1.14,55.08,329.15,-7.4
TTC020438,historical,6/5/1973,c3,1.85,4.49,4.49,3.756,-29.11,1695.98,-0.36,48.08,332.07,-7.37
TTC020454,historical,6/2/1973,c3,1.48,4.46,4.46,3.628,-25.63,1629.15,2.22,53.74,332.07,-7.37
TTC020460,historical,7/9/1975,c3,0.9,4.44,4.44,2.53,-24.25,1109.83,-1.88,54.14,331.97,-7.44
TTC020501,historical,7/4/1974,c3,1.39,4.83,4.83,4.203,-27.35,1724.64,-3.73,60.24,331.07,-7.4
TTC020517,historical,6/6/1973,c3,0.9,4.5,4.9,4.028,-27.7,1604.46,0.53,92.74,332.07,-7.37
TTC020525,historical,8/1/1974,c3,1.48,4.24,4.24,3.414,-24.66,1604.7,0.48,51.17,329.15,-7.4
TTC020529,historical,6/2/1974,c3,1.48,4.24,4.24,3.58,-26.46,1684.19,-2.17,50.08,332.2,-7.4
TTC020569,historical,7/26/1973,c3,1.77,4.36,4.36,4.106,-25.53,1890.59,0.02,76.55,330.87,-7.37
TTC020579,historical,9/22/1973,c3,1.63,4.49,4.49,4.09,-26.15,1825.72,0.34,62.83,327.51,-7.37
TTC020581,historical,8/2/1974,c3,1.28,4.46,4.46,3.476,-25.41,1499.03,-0.37,42.38,329.15,-7.4
TTC020582,historical,10/13/1973,c3,2.02,4.81,4.81,4.002,-25.56,1654.7,0,43.28,327.18,-7.37
TTC020585,historical,8/3/1974,c3,1.43,4.49,4.49,4.472,-24.16,2039.98,-1.37,71.98,329.15,-7.4
TTC020637,historical,6/28/1974,c3,1,4.38,4.38,3.832,-23.27,1756.92,-0.96,80.55,332.2,-7.4
TTC020657,historical,8/16/1974,c3,1.28,4.46,4.46,3.069,-24.66,1165.44,1.39,67.67,329.15,-7.4
TTC020677,historical,6/5/1973,c3,3.7,4.16,4.16,3.808,-24.93,1843.41,-0.92,24.53,332.07,-7.37
TTC020686,historical,6/5/1973,c3,1.09,4.66,4.66,3.625,-25.77,1533.93,-1.49,69.18,332.07,-7.37
TTC020790,historical,7/21/1974,c3,2.78,5.33,5.33,4.039,-26.03,1813.83,1.68,90.71,331.07,-7.4
TTC021119,historical,8/7/1976,c3,1.77,5.01,5.01,4.637,-28.36,1795.51,-1.54,59.41,330.68,-7.49
TTC021120,historical,5/26/1974,c3,1.94,5.08,5.08,4.564,-27.02,1791.94,-2.42,54.16,333.18,-7.4
TTC021121,historical,5/16/1975,c3,1.96,4.77,4.77,4.5,-29.02,1859.13,-3,62.26,333.95,-7.44
TTC021780,historical,7/7/1973,c3,1.65,4.62,4.62,3.973,-25.91,1731.37,-0.5,51.85,330.87,-7.37
TTC021790,historical,6/1/1975,c3,2.25,4.86,4.86,4.49,-27.32,1867,-0.98,77.69,333.42,-7.44
TTC021791,historical,10/8/1974,c3,2.08,5.19,5.19,5.062,-29.11,1899.91,-2.54,54.74,327.28,-7.4
TTC021801,historical,6/28/1974,c3,1.67,4.76,4.76,4.686,-26.29,1953.86,2.04,69.23,332.2,-7.4
TTC021873,historical,9/19/1974,c3,0.59,2.97,4.45,2.744,-26.97,1166.22,1.35,101.85,327.33,-7.4
TTC021877,historical,7/23/1976,c3,2.78,5.33,5.33,4.971,-28.24,1796.83,-1.37,36.01,333.08,-7.49
TTC021881,historical,8/16/1974,c3,0.56,2.8,4.2,3.056,-28.28,1302.85,0.61,132.01,329.15,-7.4
TTC021907,historical,4/15/1974,c3,1.12,4.98,4.98,4.677,-27.18,1884.23,3.93,96.01,332.65,-7.4
TTC021941,historical,4/17/1974,c3,1.27,6.03,6.03,5.359,-27.08,1279.26,3.03,70.83,332.65,-7.4
TTC022028,historical,10/21/1973,c3,1.1,4.75,4.75,3.876,-27.31,1902.38,0.99,55.23,327.18,-7.37
TTC022159,historical,6/3/1973,c3,0.97,4.49,4.49,3.011,-24.7,1376.61,-0.54,61.38,332.07,-7.37
TTC022182,historical,7/1/1974,c3,0.54,2.71,4.07,2.824,-28.42,1200.2,-0.12,110.01,331.07,-7.4
TTC022186,historical,6/5/1973,c3,2.41,4.51,4.51,3.659,-29.23,1593.9,-2.24,31.48,332.07,-7.37
TTC022294,historical,7/6/1973,c3,2.78,5.33,5.33,3.829,-26.78,1355.22,-2.03,44.85,330.87,-7.37
TTC022323,historical,4/17/1974,c3,2.78,5.33,5.33,4.023,-25.48,1445.92,0.57,40.78,332.65,-7.4
TTC022606,historical,6/15/1975,c3,2.13,5.68,5.68,5.208,-28.93,1800.76,-1.6,56.74,333.42,-7.44
TTC022609,historical,6/22/1973,c3,1.04,4.32,4.32,3.998,-25.5,1846.12,0.58,83.23,332.07,-7.37
TTC025118,historical,6/4/1973,c3,3.13,4.37,4.37,3.852,-23.42,1841.44,-1.07,29.61,332.07,-7.37
TTC025134,historical,6/16/1973,c3,0.67,3.37,5.05,3.033,-24.91,1180.06,6.58,103.44,332.07,-7.37